Unique_Sample_ID,Time_place_of_CBC_analysis,Genotype,Princeton/NIH_Tag,CageID,Parents,Age,Location,Notes,Infection_Status,Block,WBC_count,Neu_count,Lym_count,Mon_count,Eos_count,Bas_count,Neu_percent,Lym_percent,Mon_percent,Eos_percent,Bas_percent,RBC_count,HGB (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW-CV (%),MPV (fL)
7051_U_NIH_C57_Lab,NIH,C57,401,12,G571,5,SF,,N,1,6.86,0.63,5.7,0.26,0.19,0.08,9.2,83.1,3.7,2.8,1.2,9.34,15.1,41.5,44.5,16.2,36.5,17.9,5
7051_U_2 weeks_C57_SF,2 weeks,C57,401,12,G571,9,SF,,N,1,3.61,0.57,2.79,0.08,0.13,0.04,15.8,77.2,2.2,3.7,1.1,10,16,44.5,44.5,16,35.9,15.7,5.7
7050_NIH_C57_Lab,NIH,C57,402,12,G571,5,SF,,N,1,7.13,0.86,5.87,0.15,0.17,0.08,12.1,82.3,2.1,2.4,1.1,8.19,13.6,37.2,45.4,16.6,36.6,17,4.9
7050_2 weeks_C57_SF,2 weeks,C57,402,12,G571,9,SF,,N,1,2.54,0.6,1.15,0.26,0.52,0.01,23.4,45.2,10.4,20.4,0.6,6.54,10.4,29.8,45.5,15.9,34.9,17.1,6.2
7050_5 weeks _C57_SF,5 weeks,C57,402,12,G571,12,SF,,N,1,3.49,0.79,2.46,0.13,0.09,0.02,22.5,70.3,3.8,2.7,0.7,10.47,16.6,46,43.9,15.8,36,15.8,5
7052_NIH_C57_Lab,NIH,C57,403,12,G571,5,Lab,,N,1,7.98,0.84,6.41,0.23,0.42,0.08,10.5,80.4,2.8,5.3,1,9.13,15.1,41,44.9,16.5,36.8,20.2,5
7052_2 weeks_C57_Lab,2 weeks,C57,403,12,G571,9,Lab,,N,1,8.17,1.76,6.11,0.13,0.14,0.03,21.5,74.8,1.6,1.7,0.4,9.84,15.7,42.2,42.9,16,37.2,14.8,5.6
7052_5 weeks _C57_Lab,5 weeks,C57,403,12,G571,12,Lab,,N,1,2.9,0.58,2.2,0.04,0.07,0.01,19.9,75.9,1.4,2.2,0.6,10.09,15.5,43.3,42.9,15.4,35.9,14.5,5.4
7044_U_NIH_C57_Lab,NIH,C57,404,12,G571,5,Lab,,N,1,5.2,0.96,4.04,0.08,0.1,0.02,18.4,77.7,1.6,1.8,0.5,6.99,11.7,32.1,45.9,16.8,36.6,16.6,5.3
7044_U_2 weeks_C57_Lab,2 weeks,C57,404,12,G571,9,Lab,,N,1,11.78,3.57,7.93,0.13,0.1,0.05,30.3,67.4,1,0.8,0.5,9.55,15.1,40.9,42.8,15.8,36.9,12.5,5.2
7044_U_5 weeks _C57_Lab,5 weeks,C57,404,12,G571,12,Lab,,Tm,1,2.43,0.31,2,0.08,0.03,0.01,12.7,82.2,3.3,1.3,0.5,10.22,15.5,43.1,42.1,15.2,36,13.5,4.7
7021_NIH_C57_Lab,NIH,C57,405,13,G549,6,Lab,,N,1,6.06,0.64,5.17,0.05,0.14,0.06,10.6,85.3,0.9,2.2,1,10,16,44.7,44.7,16,35.8,17.6,5.2
7021_2 weeks_C57_Lab,2 weeks,C57,405,13,G549,10,Lab,,N,1,8.76,3.26,5.16,0.18,0.11,0.05,37.1,58.9,2.1,1.3,0.6,10.34,15.9,44.1,42.6,15.4,36,12.4,5.3
7021_5 weeks _C57_Lab,5 weeks,C57,405,13,G549,13,Lab,,N,1,2.79,0.38,2.25,0.08,0.05,0.03,13.4,80.6,3.1,1.8,1.1,9.87,15.2,42.4,42.9,15.4,35.8,13.5,5.2
7030_NIH_C57_Lab,NIH,C57,406,13,G551,6,SF,,N,1,3.46,0.48,2.72,0.06,0.19,0.01,13.7,78.6,1.8,5.4,0.5,3.03,5.1,14.4,47.4,16.7,35.2,15.8,5.4
7030_2 weeks_C57_SF,2 weeks,C57,406,13,G551,10,SF,,N,1,3.31,0.97,1.67,0.12,0.54,0.01,29.3,50.2,3.6,16.4,0.5,10.88,17.5,47.8,44,16.1,36.5,15.4,5.4
7030_5 weeks _C57_SF,5 weeks,C57,406,13,G551,13,SF,,Tm,1,3.34,0.92,1.59,0.24,0.54,0.05,27.5,47.4,7.3,16.3,1.5,8.85,14.9,40.1,45.3,16.8,37.2,16,6
7023_NIH_C57_Lab,NIH,C57,407,13,G549,6,SF,,N,1,8.24,1.15,6.67,0.13,0.22,0.07,14,80.9,1.6,2.6,0.9,9.28,14.9,41.1,44.3,16.1,36.4,18.6,5.1
7023_2 weeks_C57_SF,2 weeks,C57,407,13,G549,10,SF,,N,1,3.33,0.92,1.43,0.13,0.8,0.05,27.5,43,4.1,23.9,1.5,10.8,16.6,45.8,42.4,15.4,36.4,16.1,5.5
7023_5 weeks _C57_SF,5 weeks,C57,407,13,G549,13,SF,,Tm,1,1.68,0.38,1.23,0.04,0.01,0.02,22.6,72.7,1.9,1.1,1.7,11.23,16.6,47.4,42.3,14.8,35.1,17.4,5.5
7031_U_NIH_C57_Lab,NIH,C57,7031_U,13,G551,6,,,N,1,7.64,1,6.2,0.21,0.13,0.1,13.1,81.1,2.7,1.8,1.3,8.42,14.2,38.6,45.9,16.9,36.8,15.3,4.9
7031_U_2 weeks_C57_SF,2 weeks,C57,408,13,,10,SF,,N,1,2.5,0.76,1.12,0.27,0.33,0.02,30.4,44.8,10.7,13.2,0.9,10.68,16.9,45.9,42.9,15.8,36.9,14.9,5.6
7031_U_5 weeks _C57_SF,5 weeks,C57,408,13,,13,SF,,N,1,1.6,0.48,1.08,0.02,0.01,0.01,29.6,67.5,1.3,0.9,0.7,10.71,17.3,47.8,44.6,16.2,36.3,15.9,5.4
7022_U_NIH_C57_Lab,NIH,C57,7022_U,13,G549,6,,,N,1,5.17,0.89,4,0.09,0.16,0.03,17.2,77.2,1.8,3.2,0.6,9.94,16,44.1,44.4,16.1,36.2,17.3,5
7022_U_2 weeks_C57_Lab,2 weeks,C57,409,13,,10,Lab,,N,1,7.31,1.47,5.39,0.15,0.26,0.04,20.1,73.7,2.1,3.5,0.6,10.92,16.6,45.9,42,15.2,36.2,16.2,6.1
7022_U_5 weeks _C57_Lab,5 weeks,C57,409,13,,13,Lab,,Tm,1,3.98,0.65,2.36,0.31,0.63,0.03,16.4,59.3,7.7,15.8,0.8,10.07,15.7,42.1,41.8,15.6,37.4,15.8,4.1
7032_NIH_C57_Lab,NIH,C57,410,14,G552,6,Lab,,N,1,10.67,1.06,9.08,0.24,0.21,0.08,10,85.1,2.2,1.9,0.8,9.66,15.7,44,45.6,16.3,35.7,17.7,5
