PrincetonID,Genotype,Location,InfectionStatus,Block,IFN-? (A4),IL-5 (A5),TNF-? (A6),IL-6 (A8),IL-17A (B4),IL-22 (B7)
271,C57,Lab,Uninfected,2,3.88,12.25,25.46,4.31,9.44,1.68
275,C57,SF,Uninfected,2,2.87,5.81,7.47,3.52,9.12,26.5
274,C57,SF,Uninfected,2,0.98,19.53,5.32,6.82,6.27,5.04
273,C57,SF,Infected,2,17.34,17,23.25,11.65,22.18,146.92
272,C57,Lab,Infected,2,31.63,67.13,18.53,4.62,18.96,10.6
288,C57,SF,Infected,2,6.53,1.89,25.27,75.61,17.02,14.48
286,C57,Lab,Infected,2,217.04,7.18,34.96,5.81,40.84,41.23
287,C57,SF,Uninfected,2,0.84,2.06,9.75,4.4,78.03,2.43
290,C57,Lab,Uninfected,2,2.76,3.34,10.66,2.78,28.16,11.54
289,C57,SF,Infected,2,108.22,8.3,32.99,3.25,9.6,0.31
279,C57,Lab,Infected,2,3.95,5.6,24.97,5.41,94.44,0.18
277,C57,SF,Infected,2,24.3,7.87,17.8,13.19,3.66,6.81
276,C57,Lab,Uninfected,2,1.75,2.74,24.76,6.22,108.4,2.04
280,C57,SF,Uninfected,2,0.11,9.94,9.46,34.58,41.48,17.46
285,C57,Lab,Infected,2,91.31,4.52,31.24,8.46,13.06,18.33
284,C57,SF,Infected,2,36.87,21.52,20.25,105.94,52.78,26.35
282,C57,SF,Infected,2,551.15,7.79,58.55,11.7,19.49,21.92
295,C57,Lab,Infected,2,186.4,7.16,26.1,6.35,12.78,22.66
293,C57,Lab,Uninfected,2,0.08,2.93,2,3.41,4.95,11.69
292,C57,SF,Infected,2,0.08,15.58,7.01,26.7,3.9,10.55
296,C57,Lab,Uninfected,2,0.97,2.95,2,3.51,9.36,27.18
300,C57,SF,Infected,2,1397.9,7.36,51.62,44.11,83.36,260.8
299,C57,Lab,Infected,2,15.45,5.53,11.43,4.48,5.79,34.03
298,C57,SF,Uninfected,2,32.65,7.52,8.01,3.39,22.61,4.62
297,C57,SF,Infected,2,2.04,9.81,7.95,23.41,12.68,27.49
105,129SL,Lab,Uninfected,2,0.08,11.23,4.24,2.49,0.86,0.18
106,129SL,SF,Infected,2,0.2,81.26,6.31,26.94,4.19,94.67
107,129SL,Lab,Infected,2,13.54,30.28,2,81.24,172.11,0.18
104,129SL,SF,Uninfected,2,31.67,257.85,2,124.57,194,4.84
116,129SL,Lab,Uninfected,2,0.08,15.48,7.98,3.66,9.35,0.18
118,129SL,SF,Infected,2,0.56,80.7,2,13.21,5.68,0.18
115,129SL,Lab,Infected,2,0.08,18.59,7.38,8.22,6.69,0.18
114,129SL,SF,Uninfected,2,1.26,91.15,2.01,6.19,11.91,0.35
110,129SL,SF,Infected,2,0.08,80.02,2,5.17,0.19,18.6
113,129SL,Lab,Uninfected,2,0.68,32.58,11.89,6.39,5.83,0.18
111,129SL,SF,Uninfected,2,0.25,33.96,11.47,10.7,94.04,48.23
112,129SL,Lab,Infected,2,6.74,33.3,2,4.21,2.86,0.18
123,129SL,SF,Uninfected,2,0.89,230.46,2,8.96,1.4,0.18
120,129SL,SF,Infected,2,0.08,135.54,2,3.57,1.27,0.18
122,129SL,SF,Infected,2,24.57,33.35,3.38,9.63,3.53,8.18
121,129SL,Lab,Infected,2,8.48,30.83,12.01,3.39,1.38,6.85
119,129SL,Lab,Uninfected,2,0.11,19.33,8.11,2.81,11.79,4.42
102,129SL,Lab,Uninfected,2,38,48.83,9.29,385.21,419.23,0.18
101,129SL,Lab,Infected,2,0.71,18.82,12.81,10.55,18.06,3.18
103,129SL,SF,Infected,2,0.01,12.74,3.05,2.48,0.56,2.12
316,PWK,SF,Infected,2,1.83,6.64,6.55,17.38,59.9,61.64
314,PWK,SF,Infected,2,2.47,6.75,7.34,47.4,6.15,19.43
307,PWK,SF,Uninfected,2,0.08,5.72,12.15,80.51,0.87,10.74
308,PWK,Lab,Infected,2,0.1,1.57,6.18,8.38,0.19,0.18
309,PWK,Lab,Infected,2,0.53,13.96,3.21,7.78,33.69,17.57
306,PWK,Lab,Uninfected,2,0.6,0.53,2,6.45,44.07,17.09
303,PWK,Lab,Uninfected,2,0.08,22.97,2,19.51,4.44,17.11
304,PWK,SF,Uninfected,2,1.98,8.01,2,31.38,12.32,25.55
301,PWK,Lab,Infected,2,0.08,1.41,2,6.97,3.14,0.18
302,PWK,SF,Infected,2,8.57,6.59,18.84,48.87,23.17,10.64
319,PWK,Lab,Infected,2,5.12,0.11,15.07,145.41,62.33,22.16
317,PWK,SF,Infected,2,1.65,7.52,7.41,92.16,82.39,63.3
318,PWK,SF,Infected,2,1.59,4.29,15.69,40.01,62.27,60.27
321,PWK,Lab,Uninfected,2,0.08,1.65,10.62,3.91,1.5,6.99
320,PWK,SF,Uninfected,2,0.08,4.66,2,11.21,7.88,24.39
323,PWK,Lab,Infected,2,0.08,1.97,2,8.21,5.34,9.47
325,PWK,Lab,Uninfected,2,0.15,2.36,2,16.78,10.23,2.08
324,PWK,SF,Infected,2,0.62,3.69,14.05,46.59,58.9,272.85
360,PWK,SF,Infected,2,8.4,2.59,17.49,45.69,39.59,51.74
310,PWK,SF,Infected,2,0.08,2.07,2,45.51,23.89,7.24
311,PWK,SF,Uninfected,2,0.2,6.84,3.27,8.3,13.38,16.02
313,PWK,Lab,Uninfected,2,0.08,1.2,20.5,31.55,32.67,15.83
312,PWK,Lab,Infected,2,8.09,2.94,3.93,8.65,12.91,0.47
33,C57,SF,Uninfected,2,0.09,91.43,9.26,9.74,33.13,46.67
402,C57,SF,Uninfected,1,0.78,10.2,5.02,23.37,2.08,0.32
403,C57,Lab,Uninfected,1,0.83,0.4,8.7,17.47,17.01,22.49
404,C57,Lab,Infected,1,4.67,2.57,3.32,19.29,3.26,17.31
405,C57,Lab,Uninfected,1,1.67,5.75,4.1,12.7,3.95,3.24
406,C57,SF,Infected,1,170.25,5.03,15.22,1086.15,6.7,19.74
407,C57,SF,Infected,1,105.41,18.42,11.71,6.1,2.99,4.65
408,C57,SF,Uninfected,1,0.9,2.1,3.8,32.11,1.86,0.42
409,C57,Lab,Infected,1,1.12,3.02,6.78,88.29,6.44,10.92
410,C57,Lab,Infected,1,1.09,3.03,5.34,40.55,8.71,6.44
411,C57,SF,Infected,1,9.67,4.46,1.37,9.6,2.53,4.64
412,C57,SF,Uninfected,1,0.92,14.03,5.82,18.81,2.95,3.32
413,C57,SF,Infected,1,14.67,1.18,7.11,1124.85,3.77,1.58
