Mouse,Genotype,Location,Infection_Status,PBS_IFNg,CD3_CD28_IFNg,LPS_IFNg,Candida_IFNg,C..perfinges_IFNg,B..vulgatus_IFNg,T.muris_50ug.ml_IFNg,PBS_IL.5,CD3_CD28_IL.5,LPS_IL.5,Candida_IL.5,C..perfinges_IL.5,B..vulgatus_IL.5,T.muris_50ug.ml_IL.5,PBS_TNF.a,CD3_CD28_TNF.a,LPS_TNF.a,Candida_TNF.a,C..perfinges_TNF.a,B..vulgatus_TNF.a,T.muris_50ug.ml_TNF.a,PBS_IL.2,CD3_CD28_IL.2,LPS_IL.2,Candida_IL.2,C..perfinges_IL.2,B..vulgatus_IL.2,T.muris_50ug.ml_IL.2,PBS_IL.6,CD3_CD28_IL.6,LPS_IL.6,Candida_IL.6,C..perfinges_IL.6,B..vulgatus_IL.6,T.muris_50ug.ml_IL.6,PBS_IL.4,CD3_CD28_IL.4,LPS_IL.4,Candida_IL.4,C..perfinges_IL.4,B..vulgatus_IL.4,T.muris_50ug.ml_IL.4,PBS_IL.10,CD3_CD28_IL.10,LPS_IL.10,Candida_IL.10,C..perfinges_IL.10,B..vulgatus_IL.10,T.muris_50ug.ml_IL.10,PBS_IL.9,CD3_CD28_IL.9,LPS_IL.9,Candida_IL.9,C..perfinges_IL.9,B..vulgatus_IL.9,T.muris_50ug.ml_IL.9,PBS_IL.17A,CD3_CD28_IL.17A,LPS_IL.17A,Candida_IL.17A,C..perfinges_IL.17A,B..vulgatus_IL.17A,T.muris_50ug.ml_IL.17A,PBS_IL.22,CD3_CD28_IL.22,LPS_IL.22,Candida_IL.22,C..perfinges_IL.22,B..vulgatus_IL.22,T.muris_50ug.ml_IL.22,PBS_IL.13,CD3_CD28_IL.13,LPS_IL.13,Candida_IL.13,C..perfinges_IL.13,B..vulgatus_IL.13,T.muris_50ug.ml_IL.13
280,C57,SF,N,0.137503524,8.092228584,0.344828497,0.201633861,0.464668267,0.310340121,2.673556424,0.166715445,3.69265037,2.084064265,0.166715445,0.166715445,0.166715445,1.372952098,3.005399988,7.149950302,3.092545742,2.969012308,4.776630423,4.233427944,3.750606505,0.475084883,11.28975379,2.895302621,2.207892852,3.961623328,4.093391153,4.19298317,1.570462931,4.516015147,1.333423734,0.160920188,2.897240426,3.768713657,5.376429311,2.601696516,4.401903472,2.548436625,0.137503524,0.137503524,0.137503524,0.137503524,0.028569152,1.854793598,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.014355293,0.014355293,3.462052319,0.014355293,2.364572432,1.432959407,0.918386234,0.545968369,7.033312868,2.321928095,0.028569152,1.367371066,0.367371066,0.970853654,1.560714954,2.114367025,1.773996325,1.618238656,1.778208576,1.682573297,2.09423607,0.137503524,3.350497247,0.963474124,0.137503524,2.077242999,2.032100843,2.577730931
275,C57,SF,N,1.475084883,9.930382533,0.887525271,1.40599236,2.09423607,2.09085343,3.304511042,0.166715445,1.10433666,0.201633861,0.166715445,0.166715445,0.166715445,0.166715445,1.005759269,7.020368851,3.148934105,1.929790998,5.85847839,5.40599236,5.971083658,0.475084883,10.96226704,0.475084883,0.475084883,0.475084883,0.475084883,0.475084883,1.14404637,2.817623258,3.503348735,0.765534746,3.317593505,5.441284272,6.790772038,0.137503524,3.007195501,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.757023247,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.622930351,0.731183242,5.079804755,0.111031312,0.001441974,0.575312331,0.250961574,0.622930351,1.23878686,1.887525271,0.86393845,0.799087306,0.90303827,0.263034406,0.815575429,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
274,C57,SF,N,0.545968369,6.673132372,0.622930351,0.5360529,0.555816155,0.495695163,1.827819025,0.166715445,3.558267634,0.166715445,0.166715445,0.166715445,0.166715445,0.166715445,1.005759269,6.991975274,1.005759269,1.005759269,4.072963272,1.005759269,3.870857864,0.475084883,11.43043687,4.824258697,0.475084883,4.299391206,4.196921734,0.475084883,0.160920188,1.333423734,0.160920188,0.160920188,0,0.160920188,2.86393845,0.137503524,3.772941338,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.028569152,2.710393192,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.014355293,4.165107985,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.001441974,6.357024093,0,0.001441974,0.001441974,0.001441974,0.001441974,0.137503524,1.03562391,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
283,C57,SF,N,0.464668267,7.833585883,0.22650853,0.454175893,0.321928095,0.887525271,2.682573297,1.459431619,5.4747605,0.992768431,3.102658131,2.370164281,1.5360529,1.97819563,1.005759269,8.13996057,0.956056652,3.294253136,4.690417096,3.980939266,3.880685525,0.475084883,12.97460818,0.475084883,1.659924558,0.475084883,0.475084883,1.516015147,0.160920188,6.328405659,1.673556424,2.280956314,1.604071324,4.025914699,6.65692534,0.137503524,2.601696516,0.137503524,0.137503524,0.137503524,0.137503524,0.782408565,0.028569152,2.537047519,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,2.448900951,0.001441974,9.24407836,0.001441974,0.001441974,0.001441974,0.001441974,0.001441974,1.214124805,5.308521062,0.622930351,1.321928095,0.713695815,0.918386234,1.669026766,0.137503524,3.007195501,0.137503524,2.456806149,0.137503524,0.137503524,0.298658316
291,C57,SF,N,0.150559677,7.838951767,0.206643224,0.344828497,0.206643224,0.206643224,2.691534165,0.166715445,2.565597176,0.166715445,0.214124805,0.166715445,0.166715445,0.166715445,1.005759269,7.518377768,1.005759269,1.005759269,4.00270252,3.475084883,3.707082992,0.475084883,12.13514171,0.475084883,0.475084883,0.475084883,0.475084883,0.475084883,1.799087306,4.111031312,2.353323291,1.811471031,2.464668267,3.314696526,4.716442237,0.748461233,3.341985747,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.028569152,3.789311926,0.028569152,3.216454865,0.028569152,0.028569152,0.028569152,3.532316959,0.411426246,0.014355293,2.14404637,0.014355293,0.014355293,0.014355293,1.941106311,7.341541061,0.389566812,1.422233001,0.189033824,0.695993813,0.641546029,1.731183242,2.671293372,0.722466024,1.310340121,0.871843649,0.933572638,0.97819563,2.560714954,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
294,C57,SF,N,0.206643224,6.131959823,0.206643224,0.206643224,0.206643224,0.206643224,2.737686761,0.166715445,2.629939409,0.166715445,0.166715445,0.166715445,0.713695815,0.166715445,1.005759269,6.47118746,1.005759269,1.005759269,2.513490746,3.889473543,3.7473874,0.475084883,10.83795112,0.475084883,0.475084883,0.475084883,3.921245889,0.475084883,1.372952098,3.408711861,1.207892852,0.389566812,1.752748591,2.472487771,4.635173947,0.137503524,2.50589093,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,0.485426827,6.137913322,0.333423734,0.001441974,0,0.214124805,0.275007047,1.097610797,2.432959407,0.970853654,1.063502942,0.516015147,0.613531653,1.03562391,1.937344392,1.959770155,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
298,C57,SF,N,0.163498732,7.779194046,0.206643224,0.895302621,0.206643224,0.206643224,2.414135533,1.480265122,5.124328135,0.166715445,1.589763487,0.176322773,1.974529312,0.166715445,1.005759269,7.701133155,3.596935142,3.665620164,5.457462965,4.3950628,4.363871925,2.341985747,12.14823823,0.475084883,0.475084883,0.475084883,0.475084883,0.475084883,3.324810603,5.508428653,4.666756592,4.321928095,4.246408087,5.520107902,6.42004442,2.353323291,3.910732662,0.137503524,1.815575429,0.137503524,0.137503524,0.137503524,5.357763115,4.958749894,0.028569152,4.019968726,0.028569152,0.028569152,0.028569152,3.95419631,2.272023189,0.014355293,2.448900951,0.014355293,0.014355293,0.014355293,2.451540833,8.148069774,0.40053793,1.875780063,0.124328135,0.765534746,0.23878686,1.803227036,3.934516502,0.713695815,1.970853654,1.169925001,1.042644337,0.963474124,3.430285273,3.329123596,0.137503524,0.40053793,0.137503524,0.137503524,0.137503524
273,C57,SF,Tm,1.891419187,13.54215162,2.327687364,2.185866545,3.927896454,7.972233124,10.39201683,0.166715445,2.189033824,0.166715445,0.166715445,0.166715445,1.077242999,1.005759269,2.604071324,7.907852072,5.345893086,5.370513052,7.283458821,6.829088444,6.511436412,0.475084883,11.35131472,0.475084883,0.475084883,0.475084883,0.475084883,3.642701572,1.469885976,4.996840648,5.094658343,1.604071324,5.286511558,7.563997017,8.063934306,0.137503524,2.825785627,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,1.870660627,3.374343989,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,1.952333566,3.517275693,0.201633861,0.070389328,0.799087306,2.056583528,1.811471031,1.411426246,4.70763522,1.014355293,0.333423734,0.50589093,1.310340121,0.604071324,1.286881148,2.618238656,1.028569152,0.344828497,0.82374936,1.3950628,1.682573297,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
288,C57,SF,Tm,1.510961919,12.81914724,4.243364426,1.739848103,2.568032105,4.257764969,7.611393726,0.166715445,1.778208576,0.014355293,0.166715445,0.166715445,0.166715445,0.641546029,1.005759269,7.336194109,4.541638734,4.5360529,6.837312556,4.62935662,4.930264245,0.475084883,10.31258803,0.475084883,0.475084883,0.475084883,0.887525271,2.347665656,0.475084883,3.918386234,5.402585758,1.214124805,4.253232939,5.352617299,6.618532334,0.137503524,1.871843649,0.137503524,0.137503524,0.137503524,0.137503524,0.111031312,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.495695163,0.014355293,0.014355293,0.014355293,0.014355293,0.014355293,3.347665656,0.001441974,3.150559677,0.001441974,0.001441974,0.001441974,0.001441974,0.001441974,1.007195501,1.443606651,0.956056652,0.526068812,0.695993813,0.731183242,1.10433666,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,1.333423734
284,C57,SF,Tm,3.08236197,14.26422339,4.198494154,3.572889668,8.345937427,7.81775115,10.37744915,0.275007047,2.784503983,0.166715445,0.166715445,0.166715445,1.049630768,0.166715445,1.005759269,8.696132955,5.270528942,4.503984704,8.050011864,6.191404729,5.889230152,0.475084883,12.15406176,0.475084883,0.475084883,0.475084883,1.531069493,3.680324357,1.021479727,6.422569411,5.040892431,1.944858446,6.198886991,6.714657657,7.246027981,0.137503524,5.143230135,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524,0.028569152,6.027176173,0.028569152,0.028569152,0.028569152,0.028569152,0.028569152,0.545968369,3.875780063,0.014355293,0.014355293,0.014355293,1.40053793,1.214124805,0.367371066,8.18442908,0.695993813,0.250961574,0.367371066,0.963474124,1.097610797,1,3.759155834,0.847996907,0.565597176,0.871843649,0.97819563,0.713695815,0.137503524,4.324090516,0.137503524,0.137503524,0.137503524,0.137503524,0.137503524
