Sample ID,Genotype,Infection_Status,Location,Live.count,CD45.count,Tcells,CD4.Tcells,CD4.effector.memory.Tcells,CD4.central.memory.Tcells,CD4.naive.Tcells,CD4.double.negative.Tcells,CD8.Tcells,CD8.effector.memory.Tcells,CD8.central.memory.Tcells,CD8.naive.Tcells,CD8.double.negative.Tcells,B220.cells,Percent.CD45,Percent.Tcells,Percent.CD4.Tcells,Percent.CD8.Tcells,Percent.B220,Percent.CD4.effector.memory,Percent.CD4.central.memory,Percent.CD4.naive,Percent.CD4.double.negative,Percent.CD8.effector.memory,Percent.CD8.central.memory,Percent.CD8.naive,Percent.CD8.double.negative
280,C57/B6,No,SF,73540,68980,11348,7724,1701,1291,4605,127,3105,217,438,2378,72,28828,93.8,16.5,11.2,4.5,41.8,22,16.7,59.6,1.64,6.99,14.1,76.6,2.32
283,C57/B6,No,SF,33680,32638,6021,3869,416,455,2659,339,1968,142,245,1397,184,8673,96.9,18.4,11.9,6.03,26.6,10.8,11.8,68.7,8.76,7.22,12.4,71,9.35
287,C57/B6,No,SF,12310,11361,3077,2050,915,179,893,63,742,39,91,576,36,3549,92.3,27.1,18,6.53,31.2,44.6,8.73,43.6,3.07,5.26,12.3,77.6,4.85
291,C57/B6,No,SF,37321,31027,9316,6351,3075,664,2497,115,1999,124,390,1439,46,7191,83.1,30,20.5,6.44,23.2,48.4,10.5,39.3,1.81,6.2,19.5,72,2.3
294,C57/B6,No,SF,34120,31951,5007,3169,1542,492,1094,41,1170,133,257,734,46,8918,93.6,15.7,9.92,3.66,27.9,48.7,15.5,34.5,1.29,11.4,22,62.7,3.93
298,C57/B6,No,SF,30182,28207,7695,4975,1872,497,2433,173,2126,96,305,1633,92,8530,93.5,27.3,17.6,7.54,30.2,37.6,9.99,48.9,3.48,4.52,14.3,76.8,4.33
304,PWK,No,SF,78707,72477,28183,19527,1570,598,5604,11755,7603,612,2313,3061,1617,13774,92.1,38.9,26.9,10.5,19,8.04,3.06,28.7,60.2,8.05,30.4,40.3,21.3
307,PWK,No,SF,208384,196586,44144,34974,1201,5470,27272,1031,8894,155,4618,4051,70,11481,94.3,22.5,17.8,4.52,5.84,3.43,15.6,78,2.95,1.74,51.9,45.5,0.787
311,PWK,No,SF,9073,8762,1570,1171,79,150,852,90,377,36,131,181,29,2321,96.6,17.9,13.4,4.3,26.5,6.75,12.8,72.8,7.69,9.55,34.7,48,7.69
103,129SL,Tm,SF,22088,21385,12781,9642,1053,1033,7249,307,3016,67,64,2630,255,2620,96.8,59.8,45.1,14.1,12.3,10.9,10.7,75.2,3.18,2.22,2.12,87.2,8.45
106,129SL,Tm,SF,20265,18471,6529,4259,340,136,2545,1238,1277,17,47,451,762,1826,91.1,35.3,23.1,6.91,9.89,7.98,3.19,59.8,29.1,1.33,3.68,35.3,59.7
110,129SL,Tm,SF,77255,73299,5217,3233,728,213,1362,930,1221,39,205,448,529,6407,94.9,7.12,4.41,1.67,8.74,22.5,6.59,42.1,28.8,3.19,16.8,36.7,43.3
117,129SL,Tm,SF,6461,5982,3276,2577,464,240,1777,96,614,32,20,498,64,744,92.6,54.8,43.1,10.3,12.4,18,9.31,69,3.73,5.21,3.26,81.1,10.4
120,129SL,Tm,SF,45070,41000,14440,10160,768,410,8024,958,2850,123,56,1523,1148,2065,91,35.2,24.8,6.95,5.04,7.56,4.04,79,9.43,4.32,1.96,53.4,40.3
