Mouse ID,Location,Infected,Strain,Block,% T cells of CD45+,% CD4+ of CD45+,% CD4+/Q1 CD62L- / CD44+ eff mem of CD45+,% CD4+/Q2 CD62L+ / CD44+ cent mem of CD45+,% CD4+/Q3 CD62L+ / CD44- naive of CD45+,% CD4+/Q4 CD62L- / CD44- of CD45+,% Ki-67+ activated CD4 of CD45+,% KLRG1+ CD4+ of CD45+,% FoxP3+ CD4+ of CD45+,% Gata3+ CD4+ of CD45+,% Tbet+ CD4+ of CD45+,% RorgT+ CD4+ of CD45+,% CD8+ of CD45+,% Q1 CD62L-  CD44+ eff mem of CD45+,% CD8+/Q2 CD62L+ / CD44+ cent mem of CD45+,% CD8+/Q3 CD62L+ / CD44- naive of CD45+,% CD8+/Q4 CD62L- / CD44- of CD45+,% Ki-67+ CD8+ of CD45+,% KLRG1+ CD8+ of CD45+,% B220+ cells of CD45+,% CD44+ B cells of CD45+,% CD62L+ Bcells of CD45+,% CD62hiCD44+ B cells of CD45+,% CD62hiCD44- B cells of CD45+,% gd T cells of CD45+,% NK cells of CD45+,% lin- of CD45+,% Ki67+ ILCs of CD45+
469,SF,Infected,PWK,Block1,40.2,25.1,7.29,13.7,3.22,0.861,4.19,0.503,2.87,0.508,0.773,0.159,14.7,3.96,9.25,1.27,0.244,2.55,0.075,55.9,4.8,11.5,0.922,10.6,0.876,0.00233,2.32,0.828
474,SF,Infected,PWK,Block1,62.4,43.1,6.38,33.7,2.63,0.42,4.43,0.973,3.98,1.12,0.325,0.344,18.9,0.804,17,1.05,0.0762,1.65,0.0823,33.4,4.15,21.8,1.51,20.4,1.87,0.0161,1.91,0.526
427,SF,UnInfected,129SL,Block1,66.3,48.1,4.94,2.08,38.4,2.65,2.43,0.22,4.73,0.652,0.143,0.432,17.8,0.231,0.507,15.6,1.42,0.591,0.028,31.5,4.02,24.7,1.86,23,1.07,0.00456,0.844,0.201
441,SF,UnInfected,129SL,Block1,70.1,50.2,5.14,1.44,39.2,4.48,2.67,0.114,4.46,0.425,0.0573,0.485,19.5,0.37,0.494,14.8,3.85,0.639,0.0164,27.9,3.5,16,1.17,14.9,0.948,0.00318,0.802,0.188
446,SF,UnInfected,129SL,Block1,58.3,42.1,4.21,1.76,33.2,2.93,3.76,0.306,3.76,0.711,0.314,0.296,15.8,0.306,0.447,12.4,2.63,0.775,0.0275,37.1,4.34,27.3,1.94,25.5,1.64,0.00247,2.79,1.53
7010,SF,UnInfected,129SL,Block1,59.2,43.7,5.73,1.88,32.5,3.62,1.83,0.149,5.36,0.586,0.0378,0.352,15.1,0.199,0.422,12.3,2.13,0.378,0.013,38.7,3.96,24.1,1.34,22.8,0.92,0.00508,0.864,0.218
144,SF,UnInfected,B6,Block1,55,32.8,4.26,2.33,22.9,3.24,2.6,0.312,3.66,0.361,0.101,0.817,21.2,0.602,2.86,12.4,5.33,1.37,0.0481,40.8,5.48,33.1,2.92,30.4,1.54,0.356,1.6,0.381
195,SF,UnInfected,B6,Block1,57.1,39.7,5.06,2.57,28.7,3.4,4.03,0.274,3.54,0.401,0.447,0.302,16.8,0.596,1.12,10.6,4.51,0.995,0.0804,37.6,4.7,29.5,2.05,27.5,1.33,0.0642,3.27,1.42
358,SF,UnInfected,B6,Block1,57.3,33.4,5.11,1.62,22.5,4.18,2.47,0.262,4.39,0.455,0.101,0.819,22.9,0.793,2.72,13.1,6.29,1.51,0.0181,39.4,4.32,16.3,1.12,15.3,1.26,0.292,1.33,0.257
408,SF,UnInfected,B6,Block1,64.8,35.1,3.99,3.65,26.3,1.16,2.15,0.549,3.99,0.585,0.109,0.437,29,0.535,5.02,22.7,0.679,2.08,0.0595,32,3.39,24.8,1.45,23.4,1.48,0.269,1.22,0.263
