Cage,Genotype,Left ear tag,Right ear tag,Parentage,RFID Tag,Location,Wedge,Sex,Infected,Lost RFID 1,Lost RFID 2,Missing 1,Missing 2,Uncaptured
18,129,101,7138,G454,,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
18,129,102,7139,G456,,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
18,129,103,791,G461,48 55 50 56 57 55,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
19,129,104,7096,G459,49 51 48 50 55 51,SF,2,Female,N,TRUE,FALSE,FALSE,FALSE,FALSE
19,129,105,7090,G455,,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
19,129,106,7091,G455,49 50 55 56 50 54,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
19,129,107,7095,G459,,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
19,129,108,7089,G455,49 50 55 56 48 56,SF,2,Female,N,FALSE,FALSE,TRUE,TRUE,TRUE
20,129,109,7100,G430,48 54 51 55 49 54,SF,2,Female,N,FALSE,FALSE,TRUE,TRUE,TRUE
20,129,110,7097,G430,48 55 50 56 53 57,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
20,129,111,7099,G430,48 54 51 55 56 50,SF,2,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
20,129,112,7103,G429,,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
20,129,113,7098,G430,,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
21,129,114,7102,G458,49 51 48 51 48 51,SF,2,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
21,129,115,7101,G458,,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
21,129,116,7093,G455,,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
21,129,117,7092/5989,G455,49 51 48 51 55 50,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
21,129,118,7094,G455,49 51 48 50 57 55,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
22,129,119,7105,G429,,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
22,129,120,7107,G457,49 48 57 57 55 53,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
22,129,121,7104,G429,,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
22,129,122,7108,G457,48 54 51 55 54 50,SF,2,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
22,129,123,5990,G457,49 51 48 50 55 49,SF,2,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
12,PWK,301,7117,G467,,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
12,PWK,302,7114/499,G648,49 48 57 57 53 49,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
12,PWK,303,7115/483,G647,,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
12,PWK,304,7116,G647,49 51 48 51 51 52,SF,3,Female,N,TRUE,TRUE,FALSE,FALSE,FALSE
13,PWK,305,7121,G643,49 51 48 50 54 54,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
13,PWK,306,5980,G643,,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
13,PWK,307,5981,G652,49 51 48 50 55 50,SF,3,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
13,PWK,308,5979,G652,,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
13,PWK,309,7132/498,G652,49 51 48 50 56 56,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
14,PWK,310,5982/497,G651,48 54 51 55 48 50,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
14,PWK,311,5983,G651,48 55 50 56 56 48,SF,3,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
14,PWK,312,5984,G651,,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
14,PWK,313,482,G651,,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
15,PWK,314,7113,G648,49 51 48 51 54 51,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
15,PWK,315,7109/484/491,G646,49 51 48 51 56 57,SF,3,Female,N,FALSE,FALSE,FALSE,TRUE,TRUE
15,PWK,316,5985/496,G646,49 51 48 50 56 55,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
16,PWK,317,7126,G644,48 54 49 48 53 50,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
16,PWK,318,7127/495,G644,48 54 51 55 48 50,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
16,PWK,319,7125,G644,,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
16,PWK,320,7124,G643,49 50 55 56 54 53,SF,3,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
16,PWK,321,5986,G643,,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
17,PWK,322,5987,G645,48 54 51 55 51 55,SF,3,Female,N,FALSE,FALSE,FALSE,TRUE,TRUE
17,PWK,323,7118,G649,,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
17,PWK,324,7120/494,G649,48 54 51 55 48 51,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
17,PWK,325,7119/485,G649,,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
17,PWK,360,5988/493,G645,48 54 51 55 48 54,SF,3,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
28,C57,271,481,G565,,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
28,C57,272,7135,G570,,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
28,C57,273,7065,G570,49 51 48 51 49 55,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
28,C57,274,7064,G570,49 51 48 50 57 48,SF,4,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
28,C57,275,7134,G570,49 51 48 50 50 48,SF,4,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
23,C57,276,7074,G569,,Lab,,Female,N,FALSE,FALSE,FALSE,FALSE,FALSE
23,C57,277,7073,G569,49 51 48 50 53 54,SF,4,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
23,C57,278,7077/490,G569,49 51 48 50 48 51,SF,4,Female,Y,FALSE,FALSE,FALSE,TRUE,TRUE
23,C57,279,7072,G569,,Lab,,Female,Y,FALSE,FALSE,FALSE,FALSE,FALSE
