"","RFID.tag","Mouse","Wedge","Genotype","Sex","Cage","Parentage","Infected","Worm.count","Wormy","Lost.RFID.1","Lost.RFID.2","Missing.1","Missing.2","time.control.1","time.control.2","Feeder","Tower","Base","Left","Right","Total","Nights","Block","meanRE","CIpN","Strength15adj","StrengthAv15adj","PostTrapTotal","PostTrapFeeder","PostTrapNights","PTCIpN","Distance"
"1","51 48 51 55 56","401","Wedge 3","C57","Female",12,"G571","Y",NA,"N",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,130,98,26,46,68,368,33,"Block 1",0.546225425336521,11.1515151515152,NA,NA,3,1,21,0.142857142857143,1117.5
"2","51 48 50 57 49","402","Wedge 3","C57","Female",12,"G571","N",NA,"N",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,710,233,0,98,75,1116,33,"Block 1",0.377611678092642,33.8181818181818,4.31431459566865,0.616330656524092,601,472,21,28.6190476190476,2603.5
"3","51 48 50 53 57","406","Wedge 3","C57","Female",13,"G551","Y",43,"Y",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,800,94,1,38,42,975,33,"Block 1",0.166709946381206,29.5454545454545,3.70036220938283,0.528623172768975,523,480,21,24.9047619047619,1076
"4","51 48 50 50 55","407","Wedge 3","C57","Female",13,"G549","Y",25,"Y",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,645,114,0,50,44,853,33,"Block 1",0.297094160712546,25.8484848484848,NA,NA,796,617,21,37.9047619047619,1825
"5","51 48 50 48 57","408","Wedge 3","C57","Female",13,NA,"N",NA,"N",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,608,179,0,76,64,927,33,"Block 1",0.465449896342803,28.0909090909091,NA,NA,905,586,21,43.0952380952381,2551.5
"6","51 48 51 50 53","411","Wedge 3","C57","Female",14,NA,"Y",2,"Y",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,435,272,13,116,84,920,33,"Block 1",0.469119871178496,27.8787878787879,NA,NA,434,339,21,20.6666666666667,2369
"7","51 48 51 53 53","412","Wedge 3","C57","Female",14,NA,"N",NA,"N",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,683,206,0,94,79,1062,33,"Block 1",0.401744003643723,32.1818181818182,4.24334507726388,0.60619215389484,570,428,21,27.1428571428571,2736.5
"8","51 48 50 56 48","413","Wedge 3","C57","Female",14,NA,"Y",4,"Y",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,711,254,0,73,83,1121,33,"Block 1",0.39963348909583,33.969696969697,4.27648543014636,0.610926490020908,645,483,21,30.7142857142857,2813.5
"9","51 48 51 53 52","415","Wedge 3","C57","Female",15,"G567","N",NA,"N",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,941,254,0,143,115,1453,33,"Block 1",0.481576669725875,44.030303030303,4.16771897687427,0.595388425267753,942,675,21,44.8571428571429,3605.5
"10","51 48 50 49 55","416","Wedge 3","C57","Female",15,"G567","Y",55,"Y",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,819,186,8,87,85,1185,33,"Block 1",0.307005181296515,35.9090909090909,4.34553172146587,0.620790245923696,597,495,21,28.4285714285714,2338.5
"11","51 48 50 52 54","418","Wedge 3","C57","Female",15,"G567","Y",NA,"N",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,259,137,0,64,56,516,33,"Block 1",0.582613624027494,15.6363636363636,NA,NA,2,0,21,0.0952380952380952,1476
"12","51 48 51 49 50","421","Wedge 3","C57","Female",16,"G571","N",NA,"N",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,226,110,0,27,61,424,33,"Block 1",0.500863356011037,12.8484848484848,NA,NA,4,4,21,0.19047619047619,1168
"13","51 48 50 52 56","423","Wedge 3","C57","Female",16,"G578","Y",24,"Y",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,736,206,6,83,137,1168,33,"Block 1",0.388429003941443,35.3939393939394,NA,NA,534,431,21,25.4285714285714,2734
"14","51 48 50 48 50","424","Wedge 3","C57","Female",16,"G578","Y",10,"Y",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,782,101,6,29,60,978,33,"Block 1",0.271986503019516,29.6363636363636,3.93886563254596,0.562695090363708,596,506,21,28.3809523809524,1495
"15","51 48 50 55 56","425","Wedge 4","129","Female",17,"G429","Y",0,"N",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,116,69,26,43,48,302,25,"Block 1",0.291244192580638,12.08,2.27202293040209,0.227202293040209,217,106,13,16.6923076923077,920
"16","51 48 51 52 55","427","Wedge 4","129","Female",17,"G459","N",NA,"N",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,576,66,45,64,44,795,25,"Block 1",0.309266233108183,31.8,2.42721567546717,0.242721567546717,696,549,13,53.5384615384615,994
"17","51 48 51 50 48","429","Wedge 4","129","Female",17,"G460","Y",39,"Y",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,236,63,21,35,40,395,25,"Block 1",0.166457252935736,15.8,NA,NA,390,231,13,30,996.5
"18","51 48 51 52 54","430","Wedge 4","129","Female",18,"G429","N",NA,"N",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,1,0,12,13,25,"Block 1",0,0.52,NA,NA,0,0,13,0,7.5
"19","51 48 50 57 56","432","Wedge 4","129","Female",18,"G454","Y",2,"Y",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,77,65,0,10,55,207,25,"Block 1",0.209004070766099,8.28,1.42289867536559,0.142289867536559,135,71,13,10.3846153846154,430
"20","51 48 51 52 51","436","Wedge 4","129","Female",19,"G430","N",NA,"N",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,365,31,14,64,20,494,25,"Block 1",0.168434093142396,19.76,NA,NA,465,357,13,35.7692307692308,709.5
"21","51 48 50 53 56","437","Wedge 4","129","Female",19,"G461","Y",0,"N",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,126,64,16,137,31,374,25,"Block 1",0.384174020191509,14.96,2.10607055233454,0.210607055233454,216,110,13,16.6153846153846,963
