"","X","Wedge","Timestamp","RFID","Mouse"
"1",1,11,"2021-08-19 23:17:11","48 48 48 49 51 48 51 49 55","273"
"2",2,10,"2021-08-19 22:14:08","48 48 48 49 51 48 50 57 50","291"
"3",3,10,"2021-08-19 22:13:42","48 48 48 49 51 48 50 57 50","291"
"4",4,11,"2021-08-19 21:33:17","48 48 48 49 51 48 50 57 50","291"
"5",5,14,"2021-08-19 20:32:25","48 48 48 49 51 48 50 53 54","277"
"6",6,3,"2021-08-19 19:17:35","48 48 48 48 55 50 56 56 48","311"
"7",7,71,"2021-08-19 18:55:45","48 48 48 48 55 50 56 56 48","311"
"8",8,3,"2021-08-19 18:38:31","48 48 48 48 55 50 56 56 48","311"
"9",9,3,"2021-08-19 18:37:55","48 48 48 48 55 50 56 56 48","311"
"10",10,71,"2021-08-19 08:57:03","48 48 48 48 55 50 56 56 48","311"
"11",11,71,"2021-08-19 08:55:08","48 48 48 48 55 50 56 56 48","311"
"12",12,71,"2021-08-19 08:55:00","48 48 48 48 55 50 56 56 48","311"
"13",13,71,"2021-08-19 08:54:38","48 48 48 48 55 50 56 56 48","311"
"14",14,70,"2021-08-19 08:45:26","48 48 48 49 51 48 51 57 50","298"
"15",15,70,"2021-08-19 08:34:24","48 48 48 49 51 48 50 51 55","287"
"16",16,70,"2021-08-19 08:34:06","48 48 48 49 51 48 51 57 50","298"
"17",17,70,"2021-08-19 08:22:55","48 48 48 49 51 48 50 51 55","287"
"18",18,70,"2021-08-19 07:59:50","48 48 48 49 51 48 51 50 56","289"
"19",19,70,"2021-08-19 07:57:53","48 48 48 49 51 48 51 50 56","289"
"20",20,70,"2021-08-19 07:57:49","48 48 48 49 51 48 51 50 56","289"
"21",21,70,"2021-08-19 07:49:37","48 48 48 49 51 48 51 50 56","289"
"22",22,70,"2021-08-19 07:10:03","48 48 48 49 51 48 50 54 49","297"
"23",23,70,"2021-08-19 06:55:44","48 48 48 49 51 48 50 54 49","297"
"24",24,70,"2021-08-19 06:44:19","48 48 48 49 51 48 51 54 54","294"
"25",25,70,"2021-08-19 06:26:18","48 48 48 49 51 48 51 54 54","294"
"26",26,70,"2021-08-19 06:17:38","48 48 48 49 51 48 50 50 48","275"
"27",27,70,"2021-08-19 06:08:23","48 48 48 49 51 48 50 51 55","287"
"28",28,70,"2021-08-19 06:05:38","48 48 48 49 51 48 51 57 50","298"
"29",29,70,"2021-08-19 06:03:36","48 48 48 49 51 48 50 51 55","287"
"30",30,70,"2021-08-19 06:01:11","48 48 48 49 51 48 51 57 50","298"
"31",31,70,"2021-08-19 06:00:11","48 48 48 49 51 48 51 51 57","292"
"32",32,70,"2021-08-19 05:58:49","48 48 48 49 51 48 50 50 48","275"
"33",33,70,"2021-08-19 05:53:03","48 48 48 49 51 48 51 52 49","280"
"34",34,70,"2021-08-19 05:46:43","48 48 48 49 51 48 51 49 57","282"
"35",35,14,"2021-08-19 05:45:47","48 48 48 49 51 48 51 50 56","289"
"36",36,14,"2021-08-19 05:45:36","48 48 48 49 51 48 51 50 56","289"
"37",37,70,"2021-08-19 05:44:59","48 48 48 49 51 48 51 51 57","292"
"38",38,14,"2021-08-19 05:44:21","48 48 48 49 51 48 50 51 55","287"
"39",39,14,"2021-08-19 05:43:44","48 48 48 49 51 48 50 51 55","287"
"40",40,70,"2021-08-19 05:40:31","48 48 48 49 51 48 51 57 50","298"
"41",41,70,"2021-08-19 05:36:44","48 48 48 49 51 48 50 57 48","274"
"42",42,70,"2021-08-19 05:36:27","48 48 48 49 51 48 51 57 50","298"
"43",43,70,"2021-08-19 05:36:02","48 48 48 49 51 48 50 51 55","287"
"44",44,70,"2021-08-19 05:35:09","48 48 48 49 51 48 50 54 49","297"
"45",45,70,"2021-08-19 05:33:10","48 48 48 49 51 48 51 49 57","282"
"46",46,70,"2021-08-19 05:32:19","48 48 48 49 51 48 51 49 55","273"
"47",47,11,"2021-08-19 05:32:19","48 48 48 49 51 48 51 57 50","298"
"48",48,70,"2021-08-19 05:31:48","48 48 48 49 51 48 50 54 49","297"
"49",49,70,"2021-08-19 05:31:31","48 48 48 49 51 48 50 54 49","297"
"50",50,70,"2021-08-19 05:30:51","48 48 48 49 51 48 50 51 55","287"
"51",51,70,"2021-08-19 05:29:40","48 48 48 49 51 48 51 57 50","298"
"52",52,70,"2021-08-19 05:29:02","48 48 48 49 51 48 51 50 56","289"
"53",53,71,"2021-08-19 05:27:37","48 48 48 48 55 50 56 56 48","311"
"54",54,70,"2021-08-19 05:27:11","48 48 48 49 51 48 51 57 50","298"
"55",55,70,"2021-08-19 05:27:09","48 48 48 49 51 48 50 57 48","274"
"56",56,71,"2021-08-19 05:23:57","48 48 48 48 55 50 56 56 48","311"
"57",57,70,"2021-08-19 05:20:42","48 48 48 49 51 48 50 53 54","277"
"58",58,70,"2021-08-19 05:17:05","48 48 48 49 51 48 50 53 50","283"
"59",60,70,"2021-08-19 05:14:35","48 48 48 49 51 48 50 50 57","300"
"60",61,70,"2021-08-19 05:14:21","48 48 48 49 51 48 50 51 55","287"
"61",62,70,"2021-08-19 05:12:33","48 48 48 49 51 48 50 50 57","300"
"62",63,70,"2021-08-19 05:12:27","48 48 48 49 51 48 50 54 49","297"
"63",64,70,"2021-08-19 05:11:40","48 48 48 49 51 48 51 49 55","273"
"64",65,70,"2021-08-19 05:11:33","48 48 48 49 51 48 51 51 57","292"
"65",66,70,"2021-08-19 05:08:46","48 48 48 49 51 48 51 50 56","289"
"66",67,30,"2021-08-19 05:07:50","48 48 48 49 51 48 51 55 50","117"
"67",68,14,"2021-08-19 05:07:21","48 48 48 49 51 48 51 52 49","280"
"68",69,70,"2021-08-19 05:07:28","48 48 48 49 51 48 51 57 50","298"
"69",70,70,"2021-08-19 05:06:41","48 48 48 49 51 48 51 57 50","298"
"70",71,70,"2021-08-19 05:06:32","48 48 48 49 51 48 50 50 48","275"
"71",72,70,"2021-08-19 05:05:01","48 48 48 49 51 48 50 53 50","283"
"72",73,70,"2021-08-19 05:04:27","48 48 48 49 51 48 50 53 51","284"
"73",74,70,"2021-08-19 05:04:26","48 48 48 49 51 48 50 57 50","291"
"74",75,70,"2021-08-19 05:04:19","48 48 48 49 51 48 51 57 50","298"
"75",76,70,"2021-08-19 05:03:58","48 48 48 49 51 48 51 54 54","294"
"76",78,10,"2021-08-19 05:00:46","48 48 48 49 51 48 51 49 57","282"
"77",79,30,"2021-08-19 05:00:06","48 48 48 49 51 48 51 55 50","117"
