Wedge,Timestamp,RFID,Mouse
11,8/19/21 23:17,48 48 48 49 51 48 51 49 55,273
10,8/19/21 22:14,48 48 48 49 51 48 50 57 50,291
10,8/19/21 22:13,48 48 48 49 51 48 50 57 50,291
11,8/19/21 21:33,48 48 48 49 51 48 50 57 50,291
14,8/19/21 20:32,48 48 48 49 51 48 50 53 54,277
3,8/19/21 19:17,48 48 48 48 55 50 56 56 48,311
71,8/19/21 18:55,48 48 48 48 55 50 56 56 48,311
3,8/19/21 18:38,48 48 48 48 55 50 56 56 48,311
3,8/19/21 18:37,48 48 48 48 55 50 56 56 48,311
71,8/19/21 8:57,48 48 48 48 55 50 56 56 48,311
71,8/19/21 8:55,48 48 48 48 55 50 56 56 48,311
71,8/19/21 8:55,48 48 48 48 55 50 56 56 48,311
71,8/19/21 8:54,48 48 48 48 55 50 56 56 48,311
70,8/19/21 8:45,48 48 48 49 51 48 51 57 50,298
70,8/19/21 8:34,48 48 48 49 51 48 50 51 55,287
70,8/19/21 8:34,48 48 48 49 51 48 51 57 50,298
70,8/19/21 8:22,48 48 48 49 51 48 50 51 55,287
70,8/19/21 7:59,48 48 48 49 51 48 51 50 56,289
70,8/19/21 7:57,48 48 48 49 51 48 51 50 56,289
70,8/19/21 7:57,48 48 48 49 51 48 51 50 56,289
70,8/19/21 7:49,48 48 48 49 51 48 51 50 56,289
70,8/19/21 7:10,48 48 48 49 51 48 50 54 49,297
70,8/19/21 6:55,48 48 48 49 51 48 50 54 49,297
70,8/19/21 6:44,48 48 48 49 51 48 51 54 54,294
70,8/19/21 6:26,48 48 48 49 51 48 51 54 54,294
70,8/19/21 6:17,48 48 48 49 51 48 50 50 48,275
70,8/19/21 6:08,48 48 48 49 51 48 50 51 55,287
70,8/19/21 6:05,48 48 48 49 51 48 51 57 50,298
70,8/19/21 6:03,48 48 48 49 51 48 50 51 55,287
70,8/19/21 6:01,48 48 48 49 51 48 51 57 50,298
70,8/19/21 6:00,48 48 48 49 51 48 51 51 57,292
70,8/19/21 5:58,48 48 48 49 51 48 50 50 48,275
70,8/19/21 5:53,48 48 48 49 51 48 51 52 49,280
70,8/19/21 5:46,48 48 48 49 51 48 51 49 57,282
14,8/19/21 5:45,48 48 48 49 51 48 51 50 56,289
14,8/19/21 5:45,48 48 48 49 51 48 51 50 56,289
70,8/19/21 5:44,48 48 48 49 51 48 51 51 57,292
14,8/19/21 5:44,48 48 48 49 51 48 50 51 55,287
14,8/19/21 5:43,48 48 48 49 51 48 50 51 55,287
70,8/19/21 5:40,48 48 48 49 51 48 51 57 50,298
70,8/19/21 5:36,48 48 48 49 51 48 50 57 48,274
70,8/19/21 5:36,48 48 48 49 51 48 51 57 50,298
70,8/19/21 5:36,48 48 48 49 51 48 50 51 55,287
70,8/19/21 5:35,48 48 48 49 51 48 50 54 49,297
70,8/19/21 5:33,48 48 48 49 51 48 51 49 57,282
70,8/19/21 5:32,48 48 48 49 51 48 51 49 55,273
11,8/19/21 5:32,48 48 48 49 51 48 51 57 50,298
70,8/19/21 5:31,48 48 48 49 51 48 50 54 49,297
70,8/19/21 5:31,48 48 48 49 51 48 50 54 49,297
